563	1	-999	-999	1
564	1	-999	-999	0
565	-999	3	9	0
566	1	2	8	-999
567	3	5	3	0
568	3	-999	-999	0
569	4	6	6	1
570	3	5	3	0
571	-999	6	11	1
572	1	-999	-999	0
573	1	2	3	0
574	3	8	4	0
575	-999	-999	-999	1
576	4	-999	-999	1
577	2	1	11	-999
578	4	7	4	0
579	4	-9	-9	1
580	4	9	5	1
581	1	-999	-999	0
582	-999	-999	-999	1
583	4	-999	-999	0
584	4	7	4	1
585	3	-999	-999	1
586	2	6	11	-999
587	2	3	7	1
588	-999	-999	-999	0
589	-999	-999	-999	0
590	2	-999	-999	1
591	3	-999	-999	0
592	4	5	10	1
593	4	-9	-9	-999
594	3	5	2	0
595	4	5	5	-999
596	4	-999	-999	1
597	4	-999	-999	0
598	4	-999	-999	0
599	-999	4	4	1
600	3	6	11	1
601	3	2	11	-999
602	-999	3	2	0
603	-999	4	7	1
604	2	4	8	1
605	4	9	12	-999
606	-999	7	2	1
607	4	-999	-999	0
608	-999	-999	-999	1
609	-999	-999	-999	1
610	-999	-999	-999	1
611	3	-9	-9	1
612	4	-999	-999	1
613	4	7	4	1
614	4	8	2	-999
615	-999	-9	-9	0
616	3	5	11	1
617	4	-999	-999	0
618	4	8	2	-999
619	-999	-9	-9	0
620	2	4	4	0
621	4	8	4	1
622	-999	-999	-999	1
623	4	9	12	-999
624	-999	-999	-999	1
625	3	5	8	0
626	-999	2	6	0
627	-999	9	10	1
628	4	6	6	1
629	-999	2	11	1
630	2	4	8	1
631	4	8	8	1
632	-999	-999	-999	0
633	3	5	2	0
634	1	-999	-999	0
635	-999	1	3	0
636	-999	-999	-999	1
637	-999	-999	-999	1
638	-999	3	9	0
639	-999	5	5	1
640	2	9	5	1
641	2	-9	-9	0
642	2	6	8	1
643	3	5	2	-999
644	2	-999	-999	1
645	2	4	9	1
646	4	8	4	0
647	2	2	10	1
648	4	9	5	1
649	2	3	4	0
650	1	1	2	0
651	-999	-999	-999	1
652	4	9	4	1
653	-999	-999	-999	1
654	3	5	2	0
655	2	-9	-9	1
656	-999	-999	-999	1
657	2	-999	-999	1
658	2	1	11	0
659	-999	5	2	0
660	1	-999	-999	1
661	-999	8	2	0
662	-999	-999	-999	0
663	3	-999	-999	1
664	-999	-999	-999	1
665	4	-999	-999	1
666	-999	3	8	0
667	1	-999	-999	1
668	-999	-999	-999	0
669	3	6	11	1
670	4	8	2	1
671	-999	4	9	1
672	4	7	4	1
673	2	3	12	1
674	3	-999	-999	1
675	-999	-999	-999	1
676	-999	7	4	1
677	3	5	8	0
678	-999	3	11	1
679	2	-999	-999	1
680	4	9	8	0
681	-999	-999	-999	0
682	-999	7	4	0
683	2	-999	-999	0
684	2	-9	-9	0
685	2	-999	-999	1
686	4	-999	-999	0
687	-999	-999	-999	0
688	1	1	8	1
689	2	3	2	1
690	-999	2	11	0
691	2	-999	-999	1
692	-999	-999	-999	0
693	-999	2	11	1
694	-999	-999	-999	1
695	-999	4	10	1
696	2	-999	-999	1
697	-999	2	11	1
698	2	-9	-9	1
699	2	3	9	0
700	-999	-999	-999	1
701	-999	5	3	0
702	2	4	5	1
703	2	-9	-9	0
704	-999	9	4	0
705	2	4	8	1
706	2	-999	-999	1
707	1	4	8	0
708	1	2	2	0
709	-999	7	4	1
710	-999	6	11	0
711	2	4	7	0
712	2	3	9	0
713	1	2	10	1
714	-999	3	9	0
715	2	4	9	1
716	-999	5	2	0
717	2	-999	-999	1
718	1	-999	-999	1
719	-999	4	11	1
720	1	-999	-999	1
721	-999	-999	-999	0
722	-999	2	3	0
723	4	7	4	-999
724	-999	-999	-999	1
725	-999	-999	-999	1
726	4	-999	-999	1
727	3	6	10	1
728	4	9	2	0
729	2	-999	-999	1
730	-999	9	6	0
731	4	7	4	-999
732	1	2	2	0
733	-999	5	3	0
734	2	3	3	0
735	-999	6	12	1
736	2	4	12	-999
737	-999	7	4	1
738	3	7	4	0
739	1	2	7	1
740	-999	6	11	1
741	-999	3	12	0
742	2	-999	-999	1
743	3	5	2	0
744	-999	-999	-999	1
745	3	7	4	1
746	-999	4	4	1
747	-999	6	8	1
748	4	5	8	0
749	2	-999	-999	1
750	4	7	4	1
751	4	9	11	-999
752	-999	6	11	1
753	-999	9	12	0
754	-999	6	11	0
755	4	9	2	-999
756	-999	9	8	0
757	4	8	2	0
758	2	-999	-999	1
759	-999	-999	-999	1
760	3	5	2	0
761	2	3	11	-999
762	-999	3	8	0
763	3	8	2	0
764	-999	8	2	0
765	3	5	4	0
766	3	-999	-999	1
767	2	-9	-9	-999
768	3	-999	-999	0
769	2	1	5	0
770	2	3	12	0
771	3	5	4	1
772	4	9	2	-999
773	-999	-999	-999	1
774	4	-999	-999	1
775	-999	2	11	1
776	2	3	7	1
777	-999	8	5	0
778	-999	-999	-999	0
779	1	-999	-999	1
780	-999	-999	-999	0
781	4	-999	-999	0
782	-999	-999	-999	1
783	4	8	6	0
784	-999	-999	-999	1
785	2	-999	-999	1
786	-999	7	4	0
787	-999	8	4	0
788	-999	-999	-999	0
789	4	9	8	1
790	2	4	2	1
791	2	-9	-9	1
792	3	-999	-999	0
793	-999	-999	-999	1
794	3	-999	-999	0
795	-999	9	12	1
796	4	9	8	1
797	2	4	2	1
798	3	8	6	1
799	-999	-999	-999	0
800	-999	1	6	0
801	-999	8	8	0
802	2	2	8	0
803	4	-999	-999	1
804	-999	-999	-999	0
805	-999	-999	-999	1
806	4	7	4	0
807	-999	7	7	1
808	4	-999	-999	1
809	4	9	2	0
810	4	5	5	0
811	-999	-999	-999	0
812	4	-999	-999	0
813	4	9	10	1
814	2	-999	-999	0
815	2	7	11	-999
816	-999	6	11	1
